date,open,high,low,close,volume,vwap
2025-04-07 04:00:00,489.19,523.17,481.8,504.38,256046855.0,501.1763
2025-04-08 04:00:00,521.86,524.98,489.16,496.48,165553031.0,507.092
2025-04-09 04:00:00,493.44,548.62,493.05,548.62,241783327.0,521.8234
2025-04-10 04:00:00,532.17,533.495,509.32,524.58,162294725.0,524.4548
2025-04-11 04:00:00,523.01,536.43,520.07,533.94,96865434.0,529.3795
2025-04-14 04:00:00,544.05,544.28,533.86,539.12,68033993.0,539.5603
2025-04-15 04:00:00,539.675,543.23,536.81,537.61,56892874.0,539.2414
2025-04-16 04:00:00,531.68,537.8854,520.29,525.66,83409814.0,527.9408
2025-04-17 04:00:00,527.64,531.165,523.91,526.41,79440083.0,527.5642
2025-04-21 04:00:00,521.16,521.7,508.46,513.88,69359529.0,513.9931
2025-04-22 04:00:00,520.14,529.305,519.1925,527.25,75937717.0,525.0503
2025-04-23 04:00:00,540.43,545.43,533.88,535.42,90565658.0,538.5299
2025-04-24 04:00:00,536.715,547.43,535.4504,546.69,64149872.0,543.4085
2025-04-25 04:00:00,546.65,551.05,543.69,550.64,60939590.0,548.3551
2025-04-28 04:00:00,551.39,553.55,545.02,550.85,47602355.0,549.7273
2025-04-29 04:00:00,548.91,555.45,548.55,554.32,47775121.0,552.8584
2025-04-30 04:00:00,547.57,556.52,541.52,554.54,93094138.0,551.0278
2025-05-01 04:00:00,560.37,564.0699,557.86,558.47,63171646.0,560.0678
2025-05-02 04:00:00,564.73,568.38,562.38,566.76,60717270.0,565.9279
2025-05-05 04:00:00,562.57,566.65,561.7,563.51,38608147.0,564.3937
2025-05-06 04:00:00,557.93,563.3476,556.96,558.8,48264708.0,560.063
2025-05-07 04:00:00,560.15,563.82,556.04,561.15,55733229.0,560.1667
2025-05-08 04:00:00,565.24,570.31,561.7,565.06,65130787.0,566.2262
2025-05-09 04:00:00,566.48,567.5,562.7637,564.34,37603427.0,564.8133
2025-05-12 04:00:00,581.47,583.0,577.04,582.99,78993570.0,579.7482
2025-05-13 04:00:00,583.41,589.08,582.84,586.84,67947225.0,586.9132
2025-05-14 04:00:00,587.81,588.98,585.535,587.59,66283531.0,587.3875
2025-05-15 04:00:00,585.56,590.97,585.0969,590.46,71268145.0,588.6247
2025-05-16 04:00:00,591.25,594.5,589.28,594.2,76052101.0,592.4173
2025-05-19 04:00:00,588.1,595.54,588.1,594.85,68168509.0,593.1807
2025-05-20 04:00:00,593.09,594.05,589.6,592.85,60614492.0,592.5641
2025-05-21 04:00:00,588.44,592.58,581.82,582.86,95197657.0,587.028
2025-05-22 04:00:00,582.66,586.62,581.405,583.09,70860417.0,583.9339
2025-05-23 04:00:00,575.98,581.8101,575.6,579.11,76029046.0,578.8343
2025-05-27 04:00:00,586.07,591.31,578.43,591.15,72588475.0,588.5785
2025-05-28 04:00:00,591.56,592.7688,586.985,587.73,68445512.0,589.7912
2025-05-29 04:00:00,593.06,593.2,586.07,590.05,70073758.0,589.7108
2025-05-30 04:00:00,588.93,591.1299,583.235,589.39,90601242.0,588.238
2025-06-02 04:00:00,587.76,592.79,585.06,592.71,61630502.0,589.9925
2025-06-03 04:00:00,592.34,597.08,591.85,596.09,63606204.0,595.0725
2025-06-04 04:00:00,596.96,597.95,595.49,595.93,57314199.0,596.8589
2025-06-05 04:00:00,597.63,599.0,591.05,593.05,92436397.0,595.1416
2025-06-06 04:00:00,598.66,600.83,596.86,599.14,66588743.0,599.078
2025-06-09 04:00:00,599.72,601.25,598.49,599.68,53016418.0,599.9965
2025-06-10 04:00:00,600.22,603.47,599.09,603.08,66246973.0,601.7272
2025-06-11 04:00:00,604.19,605.06,599.27,601.36,73658225.0,602.4555
